Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-25 11:08:00-05:00,34368.44140625,34374.21875,34368.44140625,34369.76171875,280012,0,0
2022-11-25 11:09:00-05:00,34369.53125,34375.01953125,34368.3984375,34374.359375,296495,0,0
2022-11-25 11:10:00-05:00,34373.76953125,34377.6796875,34368.73828125,34372.421875,380663,0,0
2022-11-25 11:11:00-05:00,34372.51171875,34372.98046875,34362.671875,34362.671875,351810,0,0
2022-11-25 11:12:00-05:00,34362.08984375,34367.6484375,34360.30859375,34366.62109375,387880,0,0
2022-11-25 11:13:00-05:00,34366.76953125,34368.62109375,34365.0390625,34366.8984375,316430,0,0
2022-11-25 11:14:00-05:00,34365.8515625,34367.16015625,34360.140625,34360.140625,312474,0,0
2022-11-25 11:15:00-05:00,34359.890625,34368.5390625,34358.87890625,34364.1484375,342250,0,0
2022-11-25 11:16:00-05:00,34364.21875,34364.87109375,34357.8203125,34358.328125,320444,0,0
2022-11-25 11:17:00-05:00,34358.4296875,34360.5390625,34354.37109375,34360.5390625,268717,0,0
2022-11-25 11:18:00-05:00,34360.73046875,34368.609375,34360.078125,34368.609375,359663,0,0
2022-11-25 11:19:00-05:00,34368.51953125,34372.23046875,34368.51953125,34371.421875,350164,0,0
2022-11-25 11:20:00-05:00,34371.69921875,34374.23046875,34365.05859375,34365.05859375,342955,0,0
2022-11-25 11:21:00-05:00,34364.75,34368.76953125,34362.9296875,34368.76953125,325250,0,0
2022-11-25 11:22:00-05:00,34369.171875,34375.05859375,34368.671875,34374.69140625,367485,0,0
2022-11-25 11:23:00-05:00,34373.98828125,34378.5,34371.25,34371.66015625,417105,0,0
2022-11-25 11:24:00-05:00,34371.44921875,34372.9296875,34368.140625,34371.859375,328942,0,0
2022-11-25 11:25:00-05:00,34372.140625,34374.05078125,34368.671875,34374.05078125,448090,0,0
2022-11-25 11:26:00-05:00,34375.078125,34377.87109375,34370.5,34371.76953125,362980,0,0
2022-11-25 11:27:00-05:00,34371.23828125,34375.4296875,34371.05078125,34371.83984375,394835,0,0
2022-11-25 11:28:00-05:00,34371.51171875,34372.05078125,34361.0390625,34361.0390625,425261,0,0
2022-11-25 11:29:00-05:00,34361.8515625,34369.69921875,34361.8515625,34365.4296875,438430,0,0
2022-11-25 11:30:00-05:00,34365.69140625,34368.44921875,34357.94921875,34359.51953125,416844,0,0
2022-11-25 11:31:00-05:00,34359.46875,34362.53125,34355.80078125,34357.8203125,466029,0,0
2022-11-25 11:32:00-05:00,34357.421875,34357.421875,34351.48828125,34352.26953125,387020,0,0
2022-11-25 11:33:00-05:00,34352.16015625,34353.69140625,34345.16015625,34352.28125,638724,0,0
2022-11-25 11:34:00-05:00,34352.078125,34361.671875,34352.078125,34356.171875,410350,0,0
2022-11-25 11:35:00-05:00,34356.73828125,34359.23046875,34354.44140625,34355.19921875,418146,0,0
2022-11-25 11:36:00-05:00,34355.05078125,34357.8984375,34353.76953125,34355.94140625,334455,0,0
2022-11-25 11:37:00-05:00,34356.328125,34363.66015625,34355.6015625,34363.609375,405280,0,0
2022-11-25 11:38:00-05:00,34364.01953125,34367.9609375,34362.96875,34367.609375,361238,0,0
2022-11-25 11:39:00-05:00,34367.23828125,34370.55859375,34365.62890625,34370.55859375,322493,0,0
2022-11-25 11:40:00-05:00,34370.48828125,34371.33984375,34363.609375,34364.140625,283625,0,0
2022-11-25 11:41:00-05:00,34364.7109375,34369.2109375,34360.30078125,34361.19921875,295009,0,0
2022-11-25 11:42:00-05:00,34361.73046875,34364.8984375,34359.5,34364.55078125,319193,0,0
2022-11-25 11:43:00-05:00,34363.609375,34363.828125,34357.26953125,34358.62109375,277951,0,0
2022-11-25 11:44:00-05:00,34360.140625,34364.78125,34359.48046875,34364.78125,428234,0,0
2022-11-25 11:45:00-05:00,34365.0390625,34375.30078125,34365.0390625,34374.8203125,410645,0,0
2022-11-25 11:46:00-05:00,34374.75,34378.98828125,34373.7890625,34374.03125,416856,0,0
2022-11-25 11:47:00-05:00,34374.16015625,34376.26171875,34371.0,34373.6484375,254491,0,0
2022-11-25 11:48:00-05:00,34374.078125,34376.73046875,34373.21875,34373.9609375,238608,0,0
2022-11-25 11:49:00-05:00,34373.8984375,34374.19140625,34367.8984375,34370.73046875,452755,0,0
2022-11-25 11:50:00-05:00,34370.9296875,34376.98828125,34370.9296875,34371.30078125,405670,0,0
2022-11-25 11:51:00-05:00,34371.25,34377.58984375,34369.37109375,34377.01953125,356608,0,0
2022-11-25 11:52:00-05:00,34377.05078125,34378.171875,34374.921875,34378.171875,304732,0,0
2022-11-25 11:53:00-05:00,34378.390625,34384.87890625,34377.98046875,34384.78125,302858,0,0
2022-11-25 11:54:00-05:00,34384.69921875,34386.51171875,34376.37109375,34379.30859375,327396,0,0
2022-11-25 11:55:00-05:00,34379.328125,34379.5,34376.28125,34377.66015625,277047,0,0
2022-11-25 11:56:00-05:00,34378.5,34378.8515625,34369.44921875,34371.75,339779,0,0
2022-11-25 11:57:00-05:00,34372.109375,34376.21875,34372.01171875,34376.21875,383516,0,0
2022-11-25 11:58:00-05:00,34376.25,34376.26171875,34371.359375,34373.421875,486414,0,0
2022-11-25 11:59:00-05:00,34373.2890625,34373.46875,34368.2109375,34370.16015625,419987,0,0
2022-11-25 12:00:00-05:00,34370.05859375,34370.1796875,34364.03125,34365.51953125,416676,0,0
2022-11-25 12:01:00-05:00,34365.55078125,34371.44140625,34364.390625,34368.828125,405479,0,0
2022-11-25 12:02:00-05:00,34368.6015625,34374.87890625,34367.5390625,34373.7109375,363481,0,0
2022-11-25 12:03:00-05:00,34373.3515625,34378.109375,34372.3984375,34375.51953125,383695,0,0
2022-11-25 12:04:00-05:00,34375.51953125,34377.7109375,34369.55078125,34369.55078125,494563,0,0
2022-11-25 12:05:00-05:00,34369.30859375,34369.30859375,34363.1015625,34363.1015625,684062,0,0
2022-11-25 12:06:00-05:00,34363.01171875,34371.890625,34362.5703125,34371.83984375,311471,0,0
2022-11-25 12:07:00-05:00,34373.4609375,34373.80859375,34369.05859375,34369.8203125,314200,0,0
2022-11-25 12:08:00-05:00,34370.05078125,34370.05078125,34354.46875,34354.98046875,361214,0,0
2022-11-25 12:09:00-05:00,34355.05859375,34357.3984375,34352.5390625,34355.26171875,351649,0,0
2022-11-25 12:10:00-05:00,34355.21875,34359.171875,34352.12109375,34353.3515625,335681,0,0
2022-11-25 12:11:00-05:00,34353.53125,34358.46875,34353.51953125,34356.46875,262675,0,0
2022-11-25 12:12:00-05:00,34356.5,34362.3984375,34356.5,34362.03125,256256,0,0
2022-11-25 12:13:00-05:00,34361.96875,34365.51953125,34360.25,34360.6015625,348601,0,0
2022-11-25 12:14:00-05:00,34360.80859375,34363.51171875,34355.078125,34355.078125,360509,0,0
2022-11-25 12:15:00-05:00,34355.94140625,34364.75,34355.640625,34364.19140625,366713,0,0
2022-11-25 12:16:00-05:00,34364.44921875,34367.6796875,34361.51953125,34361.51953125,256994,0,0
2022-11-25 12:17:00-05:00,34360.7109375,34361.3984375,34359.421875,34359.91015625,313294,0,0
2022-11-25 12:18:00-05:00,34360.08984375,34360.640625,34357.51953125,34360.5390625,436973,0,0
2022-11-25 12:19:00-05:00,34360.48046875,34367.53125,34360.4609375,34366.75,444519,0,0
2022-11-25 12:20:00-05:00,34367.01953125,34368.51953125,34362.28125,34362.3203125,380136,0,0
2022-11-25 12:21:00-05:00,34362.19140625,34362.2890625,34358.48828125,34360.078125,285037,0,0
2022-11-25 12:22:00-05:00,34359.859375,34362.83984375,34357.8203125,34362.5390625,344506,0,0
2022-11-25 12:23:00-05:00,34362.4609375,34362.48828125,34358.16015625,34360.7109375,291054,0,0
2022-11-25 12:24:00-05:00,34361.0,34361.921875,34357.390625,34358.75,297239,0,0
2022-11-25 12:25:00-05:00,34359.44140625,34371.7109375,34358.69921875,34371.12109375,397619,0,0
2022-11-25 12:26:00-05:00,34371.16015625,34374.921875,34367.640625,34373.83984375,327423,0,0
2022-11-25 12:27:00-05:00,34373.80859375,34373.80859375,34368.140625,34370.921875,385196,0,0
2022-11-25 12:28:00-05:00,34371.03125,34371.26953125,34362.25,34362.76171875,399006,0,0
2022-11-25 12:29:00-05:00,34363.16015625,34369.8515625,34363.16015625,34367.73046875,385470,0,0
2022-11-25 12:30:00-05:00,34367.73828125,34368.9296875,34360.640625,34361.4609375,415829,0,0
2022-11-25 12:31:00-05:00,34361.87109375,34367.71875,34361.87109375,34366.4609375,416087,0,0
2022-11-25 12:32:00-05:00,34366.33984375,34369.05859375,34363.87109375,34367.76953125,289767,0,0
2022-11-25 12:33:00-05:00,34367.8515625,34368.44921875,34354.1484375,34354.3203125,534250,0,0
2022-11-25 12:34:00-05:00,34354.828125,34355.5,34351.1484375,34353.5390625,363615,0,0
2022-11-25 12:35:00-05:00,34353.7109375,34353.7109375,34346.37109375,34351.48828125,389776,0,0
2022-11-25 12:36:00-05:00,34351.4296875,34355.94140625,34351.140625,34355.94140625,342903,0,0
2022-11-25 12:37:00-05:00,34355.78125,34368.0703125,34355.7109375,34367.33984375,473473,0,0
2022-11-25 12:38:00-05:00,34367.23828125,34372.37109375,34365.62109375,34369.921875,568304,0,0
2022-11-25 12:39:00-05:00,34369.8984375,34370.23828125,34366.48046875,34366.96875,349549,0,0
2022-11-25 12:40:00-05:00,34366.8984375,34369.109375,34365.37109375,34366.078125,326255,0,0
2022-11-25 12:41:00-05:00,34366.33984375,34366.33984375,34358.8203125,34359.6796875,348947,0,0
2022-11-25 12:42:00-05:00,34359.62890625,34359.7890625,34347.87109375,34351.12109375,410686,0,0
2022-11-25 12:43:00-05:00,34351.3515625,34352.23046875,34345.37109375,34345.37109375,581103,0,0
2022-11-25 12:44:00-05:00,34345.4296875,34346.37109375,34342.16015625,34343.44140625,431676,0,0
2022-11-25 12:45:00-05:00,34343.359375,34344.33984375,34337.078125,34339.51953125,541356,0,0
2022-11-25 12:46:00-05:00,34339.55078125,34342.33984375,34333.37890625,34334.359375,505912,0,0
2022-11-25 12:47:00-05:00,34334.23828125,34335.26171875,34330.28125,34331.3984375,549163,0,0
2022-11-25 12:48:00-05:00,34330.58984375,34333.66015625,34326.23828125,34327.44140625,495917,0,0
2022-11-25 12:49:00-05:00,34327.328125,34327.328125,34317.828125,34318.23828125,529163,0,0
2022-11-25 12:50:00-05:00,34318.30078125,34337.1484375,34318.30078125,34336.37109375,865743,0,0
2022-11-25 12:51:00-05:00,34335.4296875,34335.4296875,34320.01171875,34328.80078125,646298,0,0
2022-11-25 12:52:00-05:00,34329.390625,34339.53125,34327.421875,34327.421875,721379,0,0
2022-11-25 12:53:00-05:00,34327.58984375,34331.140625,34324.390625,34330.8515625,688307,0,0
2022-11-25 12:54:00-05:00,34329.62109375,34336.4296875,34326.44140625,34326.5,828677,0,0
2022-11-25 12:55:00-05:00,34325.73828125,34326.19921875,34320.05859375,34320.83984375,1150772,0,0
2022-11-25 12:56:00-05:00,34321.12890625,34325.62890625,34318.140625,34321.0390625,860768,0,0
2022-11-25 12:57:00-05:00,34320.37109375,34338.578125,34319.1484375,34330.640625,1196094,0,0
2022-11-25 12:58:00-05:00,34330.98046875,34336.62109375,34327.03125,34335.69140625,1270885,0,0
2022-11-25 12:59:00-05:00,34336.3203125,34349.421875,34332.7109375,34349.421875,2874577,0,0
2022-11-25 13:00:00-05:00,34348.7109375,34348.7109375,34345.91015625,34347.1015625,15571080,0,0
2022-11-28 16:00:00-05:00,33849.4609375,33849.4609375,33849.4609375,33849.4609375,0,0,0
